Location,GPS,Native_Lands,Tags,Geological_Age,Ecology,Hydrology,Taxa,Acreage
Pine Hills Nature Preserve,"39.9423, -87.049","Miami (Myaamiaki) and Wea held the west-central Indiana Sugar Creek corridor; Wea established at Ouiatenon near present Lafayette to the north; Potawatomi (Neshnabe) oral tradition records a battle fought in the Clifty Creek and Indian Creek ravines of Pine Hills in the 1770s, when Potawatomi forces and Miami warriors contested control of the Wabash Valley, with the legend claiming nearly 600 warriors killed on both sides and the account possibly giving rise to the 'Shades of Death' name for the surrounding terrain; Miami and Wea ceded the Sugar Creek territory through Treaty of Grouseland (August 21, 1805) and Treaty with the Miami (October 6, 1818)","[Indiana, State nature preserve, National Natural Landmark]","~310 Mya Pennsylvanian sandstone over ~340 Mya Mississippian Borden Group siltstone and limestone; junction of formations produces abundant springs throughout the preserve; marine fossils including crinoids, bryozoans, and brachiopods in Mississippian layer","Relict stands of northern hemlock, white pine, and Canada yew on canyon walls and ravine floors, representing the northernmost white pine stand in this part of the continent; old-growth oak and hickory uplands; beech-maple and floodplain forest; diverse fern communities and rare wildflowers on shaded cliff faces; five miles of clear streams",Clifty Creek and Indian Creek drain the preserve before joining Sugar Creek within adjacent Shades State Park; Sugar Creek is a 93-mile Wabash River tributary; springs emerge throughout the preserve at the junction of Pennsylvanian and Mississippian bedrock; within the Deer Creek-Sugar Creek sub-watershed of the Upper Wabash River basin,,480
Prophetstown State Park,"40.4973, -86.8425","Miami (Myaamiaki) and Wea held the Wabash-Tippecanoe confluence as core territory; Potawatomi (Neshnabe) occupied lands north of the Wabash; Shawnee (Shawanwaki) brothers Tecumseh and Tenskwatawa established Prophetstown at the confluence in 1808 as a multiethnic confederacy stronghold drawing Potawatomi, Kickapoo, Lenape (Delaware), Winnebago (Ho-Chunk), Wea, Wyandot, Ottawa, Ojibwe, Menominee, Sauk, Fox, Creek, and an estimated 14 nations totaling up to 3,000 people; Woodland-period peoples occupied the river terraces at least 3,000 years prior; Harrison's forces burned Prophetstown November 8, 1811 following the Battle of Tippecanoe (November 7, 1811); Tecumseh continued organizing until his death at the Battle of the Thames (October 5, 1813)","[Indiana, State park, National Historic Landmark]","~375 Mya Devonian New Albany Shale and Mississippian Borden Group siltstone and crinoidal limestone forming the bedrock subcrop; landscape sculpted by Pleistocene Wabash Torrent (~14,000 BP) as glacial Lake Maumee breached the Fort Wayne moraine, depositing glacial outwash terraces above the Wabash-Tippecanoe confluence","Restored tallgrass prairie dominated by big bluestem (Andropogon gerardii), Indian grass (Sorghastrum nutans), little bluestem (Schizachyrium scoparium), and sideoats grama with forbs including black-eyed Susan; wetland fens fed by hillside seeps, bottomland sycamore and cottonwood forest along the Wabash and Tippecanoe floodplains, and open woodland savanna; over 180 bird species documented including state-significant Henslow's sparrow","Wabash River drainage; Tippecanoe River (180 miles, watershed 1,947 sq mi) confluences with the Wabash within the park near Battle Ground; Harrison Creek flows through the park interior forming fen ponds; park occupies three Wabash terraces shaped by the Pleistocene Wabash Torrent; 317-acre wetland restoration zone adjacent to the confluence; Tippecanoe River supports the most diverse mussel fauna in Indiana including eight federally listed species",,"2,000"
Shades State Park,"39.9326, -87.0748","Miami (Myaamiaki) and Wea held the west-central Indiana Sugar Creek corridor; Wea settled along the middle Wabash near present-day Lafayette; Sugar Creek is a Wabash tributary draining the park; Shawnee bands present in the region prior to European contact; Potawatomi oral tradition documents a battle between Potawatomi and Miami in the Pine Hills canyons in the 1770s during conflict over control of the Wabash Valley; Treaty of Grouseland (August 21, 1805, Royce Cession 56) ceded Miami, Eel River, and Wea southern Indiana lands; Treaty with the Miami (October 6, 1818, St. Mary's, Royce Cession 15) ceded central Indiana south of the Wabash, covering the Shades area; Treaty with the Wea (October 2, 1818) ceded all remaining Wea Indiana claims; Wea removed west to Missouri after 1820; Miami largely removed to Kansas in October 1846","[Indiana, State park]",~310 Mya Pennsylvanian sandstone over ~340 Mya Mississippian Borden Group siltstone and limestone; deep sandstone ravines carved by Sugar Creek drainage,"Old-growth and second-growth beech-maple and oak-hickory hardwood forest covers the uplands; relict populations of eastern hemlock, white pine, and Canada yew on north-facing canyon walls and ravine floors; rare ferns and wildflowers on shaded cliff faces throughout the Sugar Creek ravine system","Sugar Creek, a 93-mile Wabash River tributary, runs the length of the park; Indian Creek drains the northern ravines before joining Sugar Creek within the park; numerous named ravines including Frisz, Kintz, Pearl, and Red Fox carry seasonal flows; Silver Cascade waterfall; abundant springs where Pennsylvanian and Mississippian bedrock layers meet; park lies within the Deer Creek-Sugar Creek sub-watershed of the Upper Wabash River basin",,"3,082"
Fort Hill State Memorial,"39.1131, -83.4063","Hopewell (Middle Woodland, ~100 BC-AD 500) built the 1.5-mile hilltop ceremonial enclosure and a village and ceremonial buildings in the Brush Creek valley; Adena culture (c. 500 BC-100 AD) antecedent; obsidian from Yellowstone-area sources and mica recovered from the site reflect Hopewell Interaction Sphere trade networks; Shawnee (Shawanwaki) held Paint Creek and Scioto watershed territories through the 18th century; Shawnee chiefs Blue Jacket and Black Hoof signed the Treaty of Greenville (August 3, 1795) following the Battle of Fallen Timbers (August 20, 1794), ceding Ohio territory south of the treaty line; final Ohio Shawnee removal to Kansas under Treaty with the Shawnee (1831).","[Ohio, State historic site, National Natural Landmark]","~443-323 Mya Silurian through Mississippian dolomite, shale, and sandstone; Peebles Dolomite (Silurian Wenlockian-Ludlovian) forms the plateau upland; Ohio Shale and Berea Sandstone exposed in gorge section; site on unglaciated Allegheny Plateau with natural bridge.","Mixed mesophytic old-growth forest among the highest tree-diversity forest types in temperate North America, with oak-hickory, beech-maple, and riverine communities; over 800 vascular plant species documented, including state-threatened Wherry's catchfly (Silene caroliniana var. wherryi); cerulean and worm-eating warblers nest in the contiguous forest block.",Headwaters of Middle Fork Ohio Brush Creek and Paint Creek on the unglaciated Allegheny Plateau; Baker Fork borders the limestone gorge; Ohio Brush Creek flows 59.9 miles to the Ohio River; hilltop stands approximately 500 feet above creek level; natural bridge feature on Gorge Trail.,,"1,300"
Cuyahoga Valley National Park,"41.2417, -81.5497","Hopewell culture (c. 100 BC-500 AD) constructed burial mounds within current park boundaries, including the Everett Mound in northern Summit County; Erie (Eriehronon), an Iroquoian-speaking nation, held the region before the Beaver Wars (1640s-1650s) dispersed the Erie confederacy; Wendat (Wyandot/Huron) confederacy, incorporating survivors of the Erie and Petun (Tionontati) nations, designated the Cuyahoga Valley as communal hunting ground shared among nations; Lenape (Delaware; Lenapehoking) held refugee presence in the 18th century; Shawandasse Tula (Shawnee) and Haudenosaunee Seneca held shared hunting access; Treaty of Fort McIntosh (January 21, 1785) defined the Cuyahoga River mouth as the eastern boundary of Indian territory; Treaty of Greenville (August 3, 1795) ceded all land south and east of the Cuyahoga River following the Battle of Fallen Timbers (August 20, 1794); Seneca removed November 1831 via steamboat from Cincinnati, suffering starvation and disease en route to Kansas; Shawnee ceded Ohio lands and removed to Kansas 1831; Wyandot, the last nation in Ohio, resisted removal until 1843; approximately 664 Wyandot removed to Kansas July 1843 via Treaty with the Wyandots (1842), arriving to find no land available and forced to purchase 44,000 acres from the Delaware; Wyandotte Nation now headquartered in Wyandotte, Oklahoma.","[Ohio, NPS, National Park]","~360 Mya Upper Devonian shale and sandstone (Bedford Shale, Berea Sandstone, Chagrin Shale, Ohio Shale); overlain by Mississippian Cuyahoga Formation and Pennsylvanian Sharon Conglomerate; valley carved by Pleistocene glaciation with glacial drift to 400-foot depth.","Mixed deciduous forest with American beech and sugar maple dominant on upland ridges; eastern hemlock and yellow birch in cool north-facing ravines; cottonwood, sycamore, and black walnut in Cuyahoga River floodplain; more than 900 plant species; approximately 1,700 acres of wetlands in 1,500 discrete patches; bald eagle, peregrine falcon, river otter, and beaver reestablished through habitat restoration.","Cuyahoga River 26-mile corridor through park, dropping 600 feet between Akron and Cleveland and creating steep ravines and waterfalls including Brandywine Falls (65 ft); Berea Sandstone caprock over softer Bedford Shale creates differential erosion waterfalls throughout the valley; glacial drift fills valley to 400-foot depth; approximately 1,700 acres of wetlands in 1,500 discrete patches provide significant water filtration and flood attenuation; river largely recovered from industrial contamination following Clean Water Act enforcement.",,"32,950"
"Krejci Dump, Cuyahoga Valley National Park","41.272, -81.5449","Wendat (Wyandot/Huron), Lenape (Delaware), Shawandasse Tula (Shawnee), Erie (Eriehronon), and Haudenosaunee Seneca nations held the Cuyahoga Valley and Boston Township; Treaty of Fort McIntosh (January 21, 1785) defined the Cuyahoga River mouth as the eastern boundary of Indian territory; Treaty of Greenville (August 3, 1795) extinguished Indigenous title to Summit County; final Wyandot removal to Kansas July 1843.","[Ohio, NPS, National Park]","~360 Mya Upper Devonian shale (Bedford Shale, Ohio Shale, Cleveland Shale); overlain by Pleistocene glacial till and clay deposits of the Wisconsinan glaciation.","Restored seasonal wetland and wet meadow habitat; 3.5 acres of native sedge, grass, and wildflower communities established post-remediation; Jefferson salamander (Ambystoma jeffersonianum), American toad, woodcock, and diverse migratory birds documented; site classified as NPS Sentinel Wetland within the Lower Cuyahoga wetlands monitoring program in partnership with The Nature Conservancy; site supported almost no life during active contamination.","Cuyahoga River tributary drainage in Boston Township, Summit County; Pleistocene glacial till and clay deposits create layered hydrogeological conditions above Devonian shale bedrock; remediation included hydrological management systems to prevent residual contaminant migration; seasonal wetland hydrology restored post-cleanup.",,200
Flint Ridge State Memorial,"39.9848, -82.2095","Archaic cultures quarried Flint Ridge chert beginning approximately 12,000 years ago; Adena culture (c. 500 BC-100 AD, Early Woodland) actively quarried and shaped tools here; Hopewell culture (c. 100 BC-500 AD, Middle Woodland) exploited Flint Ridge as a primary long-distance trade commodity, distributing the multicolored chert across the Hopewell Interaction Sphere as far west as present-day Kansas and Missouri, south to the Gulf Coast, and east to the Carolinas, exchanging flint for Michigan copper, Appalachian mica, and Gulf Coast marine shells; Flint Ridge served as a multi-tribal gathering and extraction place for millennia; Wyandot, Lenape (Delaware), Shawandasse Tula (Shawnee), Myaamia (Miami), Ottawa, Ojibwe, and Potawatomi held the Licking and Muskingum County region and were signatories to the Treaty of Greenville (August 3, 1795), which extinguished Indigenous title to this portion of Ohio.","[Ohio, State historic site]","~320 Mya Pennsylvanian Vanport chert (Vanport Limestone Member, Allegheny Group); cryptocrystalline quartz (SiO2) formed through secondary silicification of a marine limestone by sponge-derived silica-rich fluids.","Mature beech-maple-oak mixed hardwood forest; the Vanport chert layer 3-5 feet below the surface influences local drainage and root systems; approximately 14,000 years of quarrying activity has permanently altered local soil structure; ancient quarry pits have evolved into vernal pools supporting diverse amphibian and wetland plant communities; among the finest remaining examples of mature hardwood forest in Licking County.","South Fork Licking River drainage basin, Muskingum River watershed; local drainage influenced by the impermeable Vanport chert layer; ancient quarry pits function as vernal pools and seasonal wetlands; broader landscape affected by agricultural tile drainage.",,533
Octagon Earthworks,"40.0403, -82.4278","Hopewell culture (c. 100 BC-500 AD) constructed the Octagon Earthworks as a precision lunar observatory; eight walls are aligned to all eight lunar standstill moonrise and moonset extremes of the 18.6-year lunar cycle, demonstrated by Earlham College physicists Hively and Horn (1982) with Monte Carlo analysis placing the odds of accidental alignment at less than 1 in 40 million; the Octagon and its attached Observatory Circle together comprise the largest geometric earthwork in the Americas by enclosed area; Lenape (Delaware; Lenapehoking), Shawandasse Tula (Shawanwaki/Shawnee), Myaamia (Miami), Wyandot, Ottawa, and Ojibwe held the Ohio Valley in the historic period; Treaty of Greenville (August 3, 1795) extinguished Indigenous title to Licking County.","[Ohio, State historic site, National Historic Landmark, World Heritage]","~385 Mya Devonian limestone (Columbus Limestone, Delaware Limestone); earthworks constructed on Pleistocene glacial outwash terraces above the Licking River system.",Former golf course turf undergoing active restoration; Ohio History Connection converting fairways and roughs to native grassland and prairie species beginning 2025; pre-contact vegetation was oak-hickory forest on upland terraces adjacent to the Raccoon Creek floodplain.,"Raccoon Creek drainage, Licking River basin; earthworks positioned on glacial outwash terrace; groundwater and soil conditions impacted by decades of golf course maintenance chemical applications.",,70
Newark Earthworks,"40.0422, -82.4301","Hopewell culture (c. 100 BC-500 AD) constructed the Newark Earthworks complex; the original complex covered more than 4 square miles and included interconnected geometric enclosures, parallel-walled roads, and ceremonial plazas; the Hopewell Interaction Sphere distributed Newark flint and prestige goods from this site across North America from the Great Lakes to the Gulf Coast; Lenape (Delaware; Lenapehoking), Shawandasse Tula (Shawanwaki/Shawnee), Myaamia (Miami), Wyandot, Ottawa, and Ojibwe held the Ohio Valley in the historic period; Treaty of Greenville (August 3, 1795) extinguished Indigenous title to Licking County, displacing Delaware, Shawnee, Wyandot, Miami, and allied nations; Indian Removal Act (1830) forced remaining Delaware, Shawnee, Seneca, and Ottawa west of the Mississippi.","[Ohio, State historic site, National Historic Landmark, World Heritage]","~385 Mya Devonian limestone (Columbus Limestone, Delaware Limestone) and shale (Olentangy Shale, Ohio Shale); earthworks constructed on Pleistocene glacial outwash terraces above the Licking River system.","Artificially maintained open grassland within earthwork enclosures, dominated by non-native turfgrass from former golf course management; Ohio History Connection implementing transition to native prairie species beginning 2025; pollen evidence indicates pre-contact oak-hickory climax forest on surrounding uplands; riparian corridors along Raccoon Creek support native floodplain woodland.",Licking River drainage basin; Raccoon Creek (683 sq mi watershed) and tributaries flow adjacent to the earthwork complex; earthworks positioned on elevated glacial outwash terraces above the Raccoon Creek floodplain in Licking County; rapid urban development in northwestern Licking County has increased flood frequency and impervious surface runoff.,,206
Magee Marsh Wildlife Area,"41.5039, -82.8395","Ottawa (Odawa/Anishinaabe), Wyandot (Wendat), Potawatomi (Bodéwadmi), and Erie (Eriehronon); Ottawa County named for the Odawa nation who held the Lake Erie shore from the Maumee to the Cuyahoga; Roche de Boeuf and Wolf Rapids on the Maumee River served as principal Ottawa settlement sites; Erie nation dispersed by Haudenosaunee after 1656; Treaty of Greene Ville (August 3, 1795) ceded northwestern Ohio including Ottawa County; Treaty of Maumee Rapids (September 29, 1817) forced additional Wyandot cessions; Treaty with the Ottawa (February 18, 1833) extinguished remaining Ottawa title in Ohio; Ottawa of the Roche de Boeuf and Wolf Rapids bands relocated west 1833-1837, approximately 300 of 600 Odawa dying within two years of Kansas resettlement; Wyandot removed to Kansas July 1843 in final forced removal from Upper Sandusky.","[Ohio, State wildlife area, National Wildlife Refuge]","~380 Mya Middle Devonian limestone (Columbus Limestone, Delaware Limestone); bedrock overlain by Pleistocene glacial lake plain deposits from proglacial Lake Maumee (~14,000 ya).","Coastal Lake Erie emergent freshwater marsh, beach ridge woodland, and submergent aquatic habitat; dominant communities include cattail (Typha spp.), bulrush (Schoenoplectus spp.), arrowhead (Sagittaria latifolia), and pickerelweed (Pontederia cordata) in the marsh, with oak-hickory beach ridge woodland on elevated sandy ridges; the 1.3-mile boardwalk through beach ridge and marsh edge is among the world's premier spring warbler migration watchpoints, with 26+ warbler species recorded during late April-early May migration; piping plover and bald eagle documented nesting on adjacent Lake Erie beaches.","Lake Erie (southwestern shore, Ottawa County); Crane Creek drains through the wildlife area to Lake Erie; Ottawa River and Portage River drain adjacent watershed; site occupies the lake plain of proglacial Lake Maumee, which preceded Lake Erie and deposited clay-rich glacial till forming the water-retaining substrate of the coastal marsh complex; Maumee River (largest tributary of Lake Erie by discharge, draining 6,620 sq mi across Ohio, Indiana, and Michigan) enters Lake Erie approximately 20 miles west at Toledo.",,"2,202"
Oak Openings Metropark,"41.5545, -83.8518","Wyandot (Wendat/Tionnontate), Ottawa (Odawa/Anishinaabe), Potawatomi (Bodwéwadmi), Shawnee (Šawanwaki), Miami (Myaamia), Kaskaskia, Kickapoo (Kiiakapoi), and Meškwahki (Fox); lower Maumee River valley a principal corridor between Lake Erie and interior Ohio; Wyandot and Ottawa held the Maumee territory; Treaty of Greene Ville (August 3, 1795) ceded northwestern Ohio; Treaty with the Wyandot et al. (September 29, 1817) secured remaining Maumee valley land reservations; Wyandot community departed Sandusky, Ohio July 20, 1843 in final forced removal to Wyandot County, Kansas, then relocated to Oklahoma Indian Territory.","[Ohio, County park, State Nature Preserve]","~390 Mya Middle Devonian dolomite and limestone (Lucas Dolomite, Silica Formation) buried beneath Pleistocene glacial drift; surface dominated by glacial outwash sand deposited from glacial Lake Warren (~13,000 ya) and aeolian dune formation 13,000-8,000 ya.","Globally rare oak savanna and Midwest sand barren with more than 1,200 native plant species; dominant communities include black oak savanna, twig-rush wet prairie, and tallgrass sand prairie with little bluestem (Schizachyrium scoparium), big bluestem (Andropogon gerardii), and Pennsylvania sedge (Carex pensylvanica); wild lupine (Lupinus perennis), obligate larval host of the federally endangered Karner blue butterfly, documented in significant colonies; one-third of Ohio's endangered plant species occur in the region.","Maumee River watershed (8,316 sq mi); Oak Openings sits on a glacial lake plain between Maumee tributaries; Tiffin River to the north; Swan Creek drains through the Toledo urban area to the Maumee; historic glacial Lake Warren deposited the outwash sands ~13,000 ya and drained northeast through what is now the Lake Erie basin.",,"5,000"
"Ford Marsh Unit, Detroit River International Wildlife Refuge","41.8977, -83.3412","Ottawa (Odawa/Anishinaabek), Potawatomi (Bodéwadmik), Wyandot (Wendat/Huron), and Ojibwe (Anishinaabek); River Raisin mouth and western Lake Erie shore a principal corridor in the Great Lakes Anishinaabe territory; Potawatomi established trade relations with French settlers at Frenchtown c. 1780; Potawatomi warriors allied with British and Canadian forces at the Battle of Frenchtown (January 1813); Treaty of Detroit (November 17, 1807) ceded ~5.6 million acres of southeastern Michigan including Monroe County, signed by Ottawa, Chippewa, Wyandot, and Potawatomi; Potawatomi removed via Treaty of Chicago (1833) and forced relocation 1838-1840 (Potawatomi Trail of Death); Wyandot ceded remaining Michigan lands via treaty 1842, removed to Kansas 1843.","[Michigan, USFWS, National Wildlife Refuge]","~385 Mya Middle Devonian dolomite and limestone (Detroit River Group); bedrock overlain by Pleistocene Wisconsin glacial clay, silt, and lacustrine deposits; site occupies the western Lake Erie lake plain at the mouth of the River Raisin.","Coastal Great Lakes emergent and submergent marsh at the River Raisin mouth; American lotus (Nelumbo lutea, Michigan state-threatened, Michigan's official clean waterways symbol) prominent in open water; swamp rose-mallow (Hibiscus moscheutos) in marsh margins; habitat supports bald eagle, osprey, peregrine falcon, and diverse waterfowl; lake sturgeon (Acipenser fulvescens), walleye, and burrowing mayfly documented as water quality improves following AOC remediation; 300+ bird species recorded across the DRIWR corridor.","River Raisin (135-mile Lake Erie tributary, 1,072 sq mi drainage basin, 92% agricultural land use) enters Lake Erie at the western boundary of the site; Clearwater Drain runs between Ford Marsh Unit and Sterling State Park; Sandy Creek (18.5-mile Lake Erie tributary) enters the lake approximately 2 miles south; western Lake Erie basin (shallowest, warmest, most productive of the Great Lakes).",,485
William C. Sterling State Park,"41.9156, -83.3335","Ottawa (Odawa/Anishinaabek), Potawatomi (Bodéwadmik), Wyandot (Wendat/Huron), and Ojibwe (Anishinaabek); Sandy Creek mouth and Lake Erie shore a key corridor in the Great Lakes Anishinaabe territory; Treaty of Detroit (November 17, 1807) ceded approximately 5.6 million acres of southeastern Michigan including Monroe County to the United States, signed by Ottawa, Chippewa, Wyandot, and Potawatomi; Potawatomi received $400 annual annuity and separate payments for communities on the River Raisin and Lake Erie tributaries; Odawa forced removal to Iowa then Kansas 1830s-1840s, more than 300 of approximately 600 Odawa dying within two years of resettlement; Wyandot removed to Kansas via treaty 1842-1843.","[Michigan, State park, National Wildlife Refuge]","~385 Mya Middle Devonian dolomite and limestone (Detroit River Group); bedrock overlain by Pleistocene Wisconsin glacial clay, silt, and sand deposits.","Great Lakes emergent and submergent marsh, restored lake plain prairie, and Lake Erie sandy beach habitat; dominant vegetation includes narrow-leaved cattail (Typha angustifolia), arrowhead (Sagittaria latifolia), and pondweeds in four managed lagoons; restored prairie community established on former agricultural land; American lotus (Nelumbo lutea) found in selected Lake Erie embayments; common reed (Phragmites australis) actively managed as invasive species; only Michigan state park on Lake Erie.","Lake Erie shoreline (southeastern Michigan); Sandy Creek (18.5-mile Lake Erie tributary, rises London Township, Monroe County, drains to Lake Erie at park entrance in Frenchtown Charter Township); River Raisin (135-mile Lake Erie tributary, 1,072 sq mi drainage basin) enters Lake Erie approximately 3 miles north at Monroe; four man-made lagoons within park provide sheltered aquatic habitat.",,"1,300"
Killdeer Plains Wildlife Area,"40.7158, -83.315","Wyandot (Wendat/waⁿdát), Shawnee (Šawanwaki), and Delaware (Lenape); Wyandot County named for the Wyandot nation who held the Sandusky Plains and upper Sandusky River corridor; Cranberry Swamp at Broken Sword Creek, a named Wyandot wetland outside the current wildlife area boundary, was reserved as a 1 square-mile parcel in Article 4 of the Treaty of Maumee Rapids (September 29, 1817); Treaty of Greene Ville (August 3, 1795) ceded northwestern Ohio including Wyandot County; Treaty of Maumee Rapids (1817) ceded 4.6 million acres of northwestern Ohio and Indiana while reserving 12 square miles at Upper Sandusky and the Cranberry Swamp parcel on Broken Sword Creek; Wyandot signed 19 treaties with the United States before final removal; more than 600 Wyandot departed Upper Sandusky on foot in July 1843, traveling to Cincinnati then by steamboat west, arriving in Kansas to find no land available, and subsequently removed again to Oklahoma Indian Territory.","[Ohio, State wildlife area]",~390 Mya Middle Devonian limestone (Columbus Limestone); bedrock overlain by Pleistocene glacial till and outwash from the Wisconsin glaciation.,"Restored wetland and native grassland complex on former Sandusky Plains wet prairie; habitat mosaic includes managed impoundments (over 100 ponds from less than 1 acre to 50 acres), a 360-acre green tree reservoir, native grasslands, grain crop fields maintained for wildlife, and oak-hickory woodlands; one of the premier sandhill crane (Antigone canadensis) migration staging areas in Ohio with 10,000+ cranes observed in fall as part of the mid-continent population of 660,000+; 275 documented bird species including grassland breeders bobolink (Dolichonyx oryzivorus), dickcissel (Spiza americana), upland sandpiper (Bartramia longicauda), Henslow's sparrow (Centronyx henslowii), and loggerhead shrike (Lanius ludovicianus); northern harrier and short-eared owl regular in fall migration.","Sandusky River watershed (1,825+ sq mi drainage); Broken Sword Creek (95 sq mi drainage, 82.6% agricultural land use) primary stream corridor through the wildlife area; over 100 managed ponds and impoundments provide shallow water habitat for migratory shorebirds and waterfowl; legacy agricultural tile drainage systems partially removed during restoration; historically part of the 30,000-acre Sandusky Plains wet prairie drained 1850s-1880s.",,"9,054"
Pointe Mouillee State Game Area,"42.0117, -83.198","Ottawa (Odawa/Anishinaabek), Potawatomi (Bodéwadmik), Wyandot (Wendat/Huron), and Ojibwe (Anishinaabek); Lake Erie shore and Huron River mouth a key resource corridor in Anishinaabe territory; Treaty of Detroit (November 17, 1807) ceded ~5.6 million acres of southeastern Michigan including Monroe County; Potawatomi received $400 annual annuity for communities on River Raisin and Lake Erie tributaries; Potawatomi removed via Treaty of Chicago (1833) and forced relocation 1838-1840 (Potawatomi Trail of Death); Wyandot ceded remaining Michigan and Ohio lands via treaty 1842, removed to Kansas 1843.","[Michigan, State game area]","~375 Mya Late Devonian shale and carbonate (Famennian); bedrock overlain by Pleistocene Wisconsin glacial and lacustrine deposits; site occupies the Lake Erie lake plain formed by the drainage of glacial Lake Maumee ~14,500 ya.","One of the largest freshwater coastal marsh restoration projects in the Great Lakes; managed diked cell system supporting emergent cattail (Typha spp.) marsh, open water impoundments, wet meadow, and shrub swamp; more than 295 bird species documented with up to 300,000 diving ducks during fall migration; designated International Shorebird Importance Area (2001) supporting 10,000-20,000 shorebirds annually including globally significant concentrations of Lesser Yellowlegs and Short-billed Dowitcher; bald eagle, osprey, sandhill crane, black-crowned night heron, glossy ibis, and whimbrel regularly observed.","Western Lake Erie basin, Monroe and Wayne counties; Huron River (126-mile main stem, 908 sq mi watershed draining Oakland, Livingston, Washtenaw, Wayne, and Monroe counties) enters Lake Erie at the northern margin; River Raisin enters Lake Erie approximately 8 miles southwest; mechanical pump system with artificial dike cells controls water levels across discrete marsh units, replacing natural hydrologic cycling disrupted by Huron River dam and lake level management.",,"4,040"
Edge of Appalachia Preserve,"38.7924, -83.384","Adena (c. 1000 BC-AD 100) and Hopewell (c. 200 BC-500 AD) cultures with sustained presence in Adams County; Serpent Mound, a 1,348-foot effigy mound whose authorship is debated between Adena (~300 BCE, radiocarbon 2014/2019) and Fort Ancient (c. AD 1000-1550, charcoal 1991), sits on a bluff directly above Ohio Brush Creek 7 miles northeast of the preserve; both the Shawnee Tribe and Eastern Shawnee Tribe of Oklahoma hold formal ancestral connection to the site; the Warrior's Path, a major north-south Indigenous corridor linking the Great Lakes to the Carolinas, passed through the Ohio River corridor here; Shawandasse Tula (Shawanwaki/Shawnee) and Myaamia (Miami) held south-central Ohio; ceded via Treaty of Greene Ville (August 3, 1795); remaining Ohio Shawnee removed west via Treaty with the Shawnee 1831","[Ohio, Private preserve, National Natural Landmark]","~430 Mya Silurian dolomite (Peebles Dolomite, Wenlockian stage); underlying Ordovician shale and limestone exposed in stream valley bottoms","Mixed mesophytic forest, dry limestone prairies, and cedar barrens on thin Silurian dolomite soils along the Appalachian Escarpment; 30 ecological communities, 8 globally rare; over 1,200 plant species including American bluehearts (Buchnera americana), rattlesnake master (Eryngium yuccifolium), and gladecress; holds the only Allegheny woodrat (Neotoma magister) population in Ohio; green salamander (Aneides aeneus, Ohio-listed Endangered) documented; among the most biologically diverse areas in the Midwestern United States","Ohio Brush Creek watershed; Ohio Brush Creek, a 59.9-mile tributary of the Ohio River draining 435 square miles, flows through the preserve with canoe access at Creek's Bend; Cedar Run gorge feeds Cedar Falls, a 15-foot waterfall over Silurian limestone ledges",,"21,000"
St. Anne's Woods and Wetlands,"39.0343, -84.3708","Adena (c. 1000 BC-100 AD) and Hopewell (c. 200 BC-500 AD) cultures present in Ohio River valley; Fort Ancient culture (c. 1000-1650 AD) maintained villages along the Ohio River and major Northern Kentucky tributaries; Shawandasse Tula (Shawanwaki/Shawnee) ranged through Northern Kentucky as hunting territory in the historic period; Ohio River corridor a contested boundary zone between multiple nations through the mid-18th century; Shawnee ceded regional lands via Treaty of Greene Ville (August 3, 1795)","[Kentucky, Conservation district]","~450 Mya Upper Ordovician shale and fossiliferous limestone (Kope Formation, Cincinnatian Series); Ohio River alluvium at site","Old-growth American beech (Fagus grandifolia) forest and Ohio River floodplain depression wetlands; one of the last undisturbed wetland remnants along the Ohio River in Northern Kentucky, documented by botanist E. Lucy Braun (University of Cincinnati) in 1916 as ""the best depression forest on the Ohio River floodplain""; 451 total plant and animal species recorded including Jefferson's salamander (Ambystoma jeffersonianum), wood frog (Lithobates sylvaticus), spinulose woodfern (Dryopteris carthusiana), and American copper butterfly",Ohio River floodplain; site drains directly to the Ohio River; seasonal depression wetlands (vernal pools) fill from snowmelt and spring precipitation and dry by summer; no named tributary creek within the preserve boundaries,,165
